,Age0to24,Age0to24percent,Age25to44,Age25to44percent,Age45to64,Age45to64percent,Age65up,Age65uppercent,Inc0to15,Inc0to15percent,Inc100up,Inc100uppercent,Inc15to25,Inc15to25percent,Inc25to35,Inc25to35percent,Inc35to50,Inc35to50percent,Inc50to75,Inc50to75percent,Inc75to100,Inc75to100percent,Median Age,Median Income
"Midland, Ontario",7587.0,17.0,5901.0,17.0,8711.0,17.0,5901.0,17.0,6744.0,24.0,843.0,3.0,5901.0,21.0,4215.0,15.0,4777.0,17.0,3934.0,14.0,1686.0,6.0,43.0,27390.0
"Miramichi, New Brunswick",6023.0,17.0,4908.0,17.0,7139.0,17.0,4462.0,17.0,5354.0,24.0,892.0,4.0,4685.0,21.0,3569.0,16.0,3792.0,17.0,2900.0,13.0,1115.0,5.0,43.0,25950.0
"Moncton, New Brunswick",31685.0,19.0,30592.0,19.0,30592.0,19.0,17481.0,19.0,22944.0,21.0,5463.0,5.0,20759.0,19.0,16389.0,15.0,20759.0,19.0,16389.0,15.0,6555.0,6.0,40.0,30960.0
"Montréal, Quebec",900672.0,17.0,840627.0,17.0,810604.0,17.0,450336.0,17.0,720537.0,24.0,180134.0,6.0,570425.0,19.0,390291.0,13.0,510380.0,17.0,450336.0,15.0,180134.0,6.0,39.0,30760.0
"Moose Jaw, Saskatchewan",8618.0,18.0,6950.0,18.0,7506.0,18.0,5004.0,18.0,5282.0,19.0,1946.0,7.0,5004.0,18.0,3892.0,14.0,5004.0,18.0,4448.0,16.0,2224.0,8.0,40.0,34010.0
"Nanaimo, British Columbia",20547.0,18.0,17503.0,18.0,22830.0,18.0,15220.0,18.0,17503.0,23.0,3805.0,5.0,14459.0,19.0,10654.0,14.0,13698.0,18.0,11415.0,15.0,4566.0,6.0,43.0,26190.0
"New Glasgow, Nova Scotia",7851.0,16.0,6449.0,16.0,8692.0,16.0,5327.0,16.0,7010.0,25.0,1121.0,4.0,6168.0,22.0,4206.0,15.0,4486.0,16.0,3645.0,13.0,1402.0,5.0,42.0,25340.0
"Non CMA-CA, Alberta",186678.0,14.0,129637.0,14.0,134823.0,14.0,67411.0,14.0,108895.0,21.0,51855.0,10.0,93339.0,18.0,62226.0,12.0,72597.0,14.0,82968.0,16.0,46669.0,9.0,37.0,33700.0
"Non CMA-CA, British Columbia",112541.0,14.0,91700.0,14.0,133382.0,14.0,79195.0,14.0,104205.0,25.0,25009.0,6.0,83364.0,20.0,58354.0,14.0,58354.0,14.0,58354.0,14.0,29177.0,7.0,43.0,24810.0
"Non CMA-CA, Manitoba",103724.0,16.0,62780.0,16.0,68240.0,16.0,40944.0,16.0,76428.0,28.0,10918.0,4.0,54592.0,20.0,38214.0,14.0,43673.0,16.0,35484.0,13.0,13648.0,5.0,37.0,27410.0
"Non CMA-CA, New Brunswick",63574.0,16.0,54155.0,16.0,75347.0,16.0,44737.0,16.0,56510.0,24.0,7063.0,3.0,56510.0,24.0,42382.0,18.0,37673.0,16.0,25900.0,11.0,9418.0,4.0,43.0,23500.0
"Non CMA-CA, Newfoundland and Labrador",55527.0,14.0,48864.0,14.0,75517.0,14.0,42200.0,14.0,55527.0,25.0,11105.0,5.0,55527.0,25.0,33316.0,15.0,31095.0,14.0,22211.0,10.0,13326.0,6.0,44.0,23430.0
"Non CMA-CA, Northwest Territories",6461.0,10.0,4412.0,10.0,3782.0,10.0,1260.0,10.0,4728.0,30.0,2206.0,14.0,2364.0,15.0,1418.0,9.0,1576.0,10.0,1891.0,12.0,1576.0,10.0,33.0,31340.0
"Non CMA-CA, Nova Scotia",68159.0,17.0,55051.0,17.0,83888.0,17.0,55051.0,17.0,65537.0,25.0,7864.0,3.0,60294.0,23.0,39322.0,15.0,44565.0,17.0,31458.0,12.0,13107.0,5.0,44.0,23980.0
"Non CMA-CA, Ontario",335586.0,17.0,234910.0,17.0,335586.0,17.0,212537.0,17.0,257282.0,23.0,55931.0,5.0,212537.0,19.0,145420.0,13.0,190165.0,17.0,178979.0,16.0,78303.0,7.0,42.0,28520.0
"Non CMA-CA, Prince Edward Island",13158.0,19.0,9649.0,19.0,13596.0,19.0,7894.0,19.0,9210.0,21.0,877.0,2.0,10087.0,23.0,7894.0,18.0,8333.0,19.0,5701.0,13.0,1754.0,4.0,41.0,21930.0
"Non CMA-CA, Quebec",352788.0,18.0,277191.0,18.0,403187.0,18.0,226792.0,18.0,302390.0,24.0,37798.0,3.0,289790.0,23.0,201593.0,16.0,226792.0,18.0,163794.0,13.0,37798.0,3.0,42.0,25090.0
"Non CMA-CA, Saskatchewan",104114.0,16.0,65443.0,16.0,77342.0,16.0,50569.0,16.0,71392.0,24.0,17848.0,6.0,59494.0,20.0,38671.0,13.0,47595.0,16.0,41645.0,14.0,20822.0,7.0,38.0,27930.0
