CityProv,Age0to24,Age0to24percent,Age25to44,Age25to44percent,Age45to64,Age45to64percent,Age65up,Age65uppercent,Inc0to15,Inc0to15percent,Inc100up,Inc100uppercent,Inc15to25,Inc15to25percent,Inc25to35,Inc25to35percent,Inc35to50,Inc35to50percent,Inc50to75,Inc50to75percent,Inc75to100,Inc75to100percent,Median Age,Median Income
"Toronto, Ontario",1341047,14,1254528,14,1168009,14,562374,14,1211268,28,346076,8,735413,17,475855,11,605634,14,605634,14,346076,8,38,32670
"Trois-Rivi�res, Quebec",33517,17,28552,17,38483,17,24828,17,28552,23,4965,4,27310,22,18621,15,21103,17,17379,14,6207,5,43,27680
"Truro, Nova Scotia",9903,17,7854,17,10245,17,6488,17,8537,25,1024,3,7171,21,5122,15,5805,17,4439,13,2049,6,42,26960
"Val-d'Or, Quebec",8165,17,6585,17,7902,17,3687,17,5268,20,2107,8,5004,19,3687,14,4477,17,3951,15,1843,7,39,34450
"Vancouver, British Columbia",511761,14,530038,14,530038,14,255880,14,493484,27,127940,7,328989,18,219326,12,255880,14,274158,15,127940,7,40,30650
"Vernon, British Columbia",12558,17,10143,17,14490,17,11109,17,10626,22,2415,5,10143,21,6762,14,8211,17,6762,14,3381,7,44,25680
"Victoria, British Columbia",67870,17,70584,17,81444,17,54296,17,54296,20,19003,7,46151,17,35292,13,46151,17,48866,18,21718,8,43,30170
"Victoriaville, Quebec",10805,19,8875,19,11191,19,7718,19,8489,22,1157,3,9261,24,6174,16,7332,19,5016,13,1157,3,42,26950
"Wetaskiwin, Alberta",3756,15,2935,15,2935,15,2113,15,2230,19,821,7,2465,21,1643,14,1761,15,1878,16,939,8,40,34610
"Whitehorse, Yukon",6132,15,6132,15,6132,15,1839,15,3066,15,2044,10,2657,13,2248,11,3066,15,4496,22,2861,14,37,43960
"Williams Lake, British Columbia",4302,14,3470,14,4025,14,2082,14,3192,23,832,6,2498,18,1804,13,1943,14,2359,17,1249,9,39,32000
"Windsor, Ontario",79315,16,61965,16,69400,16,39657,16,64443,26,12393,5,39657,16,32221,13,39657,16,37179,15,22307,9,39,28350
"Winnipeg, Manitoba",181721,18,153327,18,153327,18,85182,18,124933,22,28394,5,96539,17,79503,14,102218,18,96539,17,39751,7,39,33090
"Wood Buffalo, Alberta",19087,9,23017,9,12912,9,1122,9,7298,13,21894,39,4491,8,3929,7,5052,9,7298,13,6175,11,31,79720
"Woodstock, Ontario",10329,19,8330,19,8996,19,5664,19,6997,21,1332,4,5997,18,4331,13,6330,19,5664,17,2665,8,40,33590
"Yellowknife, Northwest Territories",5012,11,5012,11,3723,11,572,11,2291,16,3293,23,1288,9,1145,8,1575,11,2434,17,2291,16,33,60810
"Yorkton, Saskatchewan",4622,19,3727,19,3876,19,2832,19,2683,18,894,6,2982,20,2236,15,2832,19,2236,15,1043,7,41,32900
